俺は猫だ、名前はまだない 
日本語を勉強しています, (にほんご を べんきょう して います。), I'm studying Japanese.
寿司と刺身が食べたい！
銀の龍の背に乗って,（ぎんのりゅうのせにのって）
おはよう, Good morning.
おはようごさいます, Good morning.
富士山と桜, ふじやま　と　さくら
もう3月！？早い！, It's already March!? That's fast!
おはよ〜！今週もよろしくね！, Good morning! I hope you have a good week!
部屋, (へや)
学校に行く, (がっこう に いく)
何をしているんですか？, What are you doing?
おやすみー！また明日ねー！,Good night! See you tomorrow!
これ、めっちゃうまい,This is really good.
俺は猫だ。私は人だ。
もしかしてみんなこういうの好き？, Maybe everyone likes this kind of thing?
めっちゃ美味しかったです, It was very delicious.
おやすみ〜,Good night〜 
みんな、何時起き？私9時, What time does everyone get up? I get up at nine.
先生はあそこよ,The teacher is over there.
いくつありますか,How many are there?
ありがとう,thank you
すみません,Excuse me
駅はどこですか,Where is the station(駅えき)?
わかりました, Understood
一緒に,(いっしょに), together
勉強, (べんきょう), study
あなた, you
その後, (そのあと),after that
時々,(ときどき), sometimes
だけ, Only
どう, how
友達,（ともだち）
美味しい,（おいしい）
めっちゃうまい, It's really good.
お母さん,(お か あさん), mother
ごちそうさま, thank you
ごめんなさい,  I'm sorry
大丈夫, (だいじょうぶ)
好きな人がいますか
そうです, that is so I see
くらい
二つ, (ふたつ)
一つ, (ひとつ)
三つ, (みつ)
ください, please
お願いします, Please, 拜托
どんな, What kind of
面白い,（おもしろい）
駅までどうやって行きますか
ご注文は？　とりあえずビール！
なるほど、思い出して
いいですね
面白そうですね
