隣、いい？,Tonari, ii?,May I sit next to you?,
え？　はい。,E? Hai.,Oh. Yes.,
ありがとう。留学生なの？,Arigatoo. Ryuugakusee na no?,Thank you. Are you a foreign student?,
すみません。よくわかりません。,Sumimasen. Yoku wakarimasen.,I’m sorry. I don’t quite understand.,
ゆっくり話してください。,Yukkuri hanashite kudasai.,Please speak slowly.,
あ、ごめん、ごめん。,A, gomen, gomen.,Oh, sorry, sorry.,
あなたはりゅうがくせいですか。,Anata wa ryuugakusee desu ka.,Are you a foreign student?,
わたしはあやかです。,Watashi wa A-YA-KA desu.,I’m Ayaka.,
よろしくね。,Yoroshiku ne.,Nice to meet you.,
はい。私はタムです。,Hai. Watashi wa Tamu desu.,Yes. I’m Tam.,
よろしくお願いします。,Yoroshiku onegai-shimasu.,Nice to meet you too.
,
隣,tonari,next,
いい,ii,OK,
え?,e?,what?,
はい,hai,yes,
ありがとう,arigatoo,thank you,
留学生,ryuugakusee,international student,
すみません,sumimasen,excuse me,
よく,yoku,well,
わかる,wakaru,understand,
ゆっくり,yukkuri,slowly,
話す,hanasu,speak,
ごめん,gomen,sorry,
あなた,anata,you,
私,watashi,I,
よろしく,yoroshiku,nice to meet you (casual),
よろしくお願いします,yoroshiku onegai-shimasu,nice to meet you (polite),
,
ゆっくり話してください。,Yukkuri hanashite kudasai.,Please speak slowly.,
すみません。もう一度言ってください。,Sumimasen. Moo ichi-do itte kudasai.,I’m sorry. Please say it again.,
あ、はい。,A, hai.,Oh, OK
,
すみません。英語で言ってください。,Sumimasen. Eego de itte kudasai.,
